run,classified_kj_std,classified_ckj_10,classified_ckj_20,Total reads,Viruses,cannot be assigned to a (non-viral) species,unclassified reads,detected_species_ck10,detected_species_ck20,detected_species_ck_std
SRR5936116,1018697.0,552457.0,540279.0,2319962.0,470.0,847932.0,443862.0,6.0,5.0,1084.0
SRR6468607,5672090.0,1573315.0,1433973.0,15607250.0,4228.0,3604831.0,6001055.0,18.0,14.0,4382.0
ERR4775780,487398.0,127327.0,117015.0,1480202.0,491.0,249511.0,732000.0,6.0,5.0,1082.0
SRR5935855,6622517.0,3189010.0,3159092.0,15957834.0,1941.0,5589523.0,3737963.0,12.0,9.0,3623.0
SRR6468521,5687693.0,5082460.0,5056878.0,13408472.0,9247.0,5715053.0,1650773.0,15.0,10.0,931.0
SRR6468603,5015681.0,2199238.0,2183191.0,12224473.0,90190.0,3023861.0,3630335.0,14.0,12.0,3728.0
SRR5946847,7628071.0,2068827.0,2034361.0,18785776.0,169714.0,3995226.0,6989330.0,12.0,10.0,4414.0
SRR6468636,27317281.0,9982408.0,8754545.0,72813697.0,78635.0,15472170.0,27595988.0,73.0,47.0,4994.0
SRR6468650,6994650.0,2232714.0,1984238.0,16789220.0,11508.0,2395539.0,7009037.0,26.0,13.0,4395.0
SRR5935924,4091530.0,996816.0,818209.0,10471015.0,39484.0,4007549.0,2323098.0,12.0,7.0,2631.0
SRR6468527,6168329.0,1328068.0,1201155.0,13618389.0,3688.0,3421045.0,3739023.0,13.0,9.0,3739.0
ERR4775874,690555.0,122226.0,115229.0,1743142.0,422.0,373788.0,666282.0,4.0,3.0,1536.0
SRR6468625,8876597.0,4844091.0,4599776.0,18445083.0,54004.0,3226030.0,5358071.0,24.0,17.0,4178.0
ERR4775666,519183.0,123406.0,61839.0,1584439.0,255.0,464670.0,590095.0,5.0,3.0,1047.0
SRR5935740,3837838.0,1013368.0,943883.0,10532910.0,6440.0,2337701.0,4345806.0,12.0,9.0,4000.0
SRR6468680,6431307.0,2397173.0,2238932.0,14220774.0,29009.0,3628055.0,3703669.0,21.0,13.0,3839.0
SRR6468548,3685748.0,1377955.0,1178361.0,9386446.0,2302.0,1899738.0,3441008.0,13.0,7.0,3535.0
SRR6468659,7044205.0,2109705.0,1749057.0,19009758.0,58886.0,5535375.0,5667818.0,20.0,10.0,4366.0
SRR6468681,7630250.0,1084947.0,1026721.0,18131797.0,45450.0,3969373.0,5932882.0,16.0,9.0,4289.0
SRR6468539,5427017.0,1798871.0,1788533.0,10979879.0,2453.0,2342384.0,3069159.0,8.0,5.0,3374.0
ERR4775614,775195.0,118254.0,42830.0,2019985.0,557.0,398984.0,833676.0,5.0,2.0,1438.0
ERR4775806,508483.0,116612.0,89197.0,1449043.0,404.0,240332.0,687960.0,6.0,4.0,1560.0
SRR5935875,7614132.0,1728622.0,1526250.0,19098571.0,8279.0,4542802.0,6926385.0,5.0,3.0,3068.0
SRR6468555,6446372.0,1106791.0,827632.0,15512864.0,0.0,0.0,0.0,19.0,10.0,4182.0
SRR6468540,5833516.0,2380950.0,2362334.0,12409852.0,2798.0,2637502.0,3603124.0,15.0,13.0,3868.0
ERR4775986,101091.0,0.0,0.0,250673.0,79.0,36939.0,105388.0,0.0,0.0,467.0
SRR5946608,4392764.0,2023110.0,1955631.0,11352711.0,33313.0,4024737.0,2895177.0,13.0,11.0,3533.0
SRR6468711,2502020.0,1336920.0,1334249.0,6061595.0,870.0,1706342.0,1745936.0,9.0,8.0,2175.0
SRR5950518,3395815.0,1479392.0,1455073.0,7704647.0,1512.0,2285088.0,2013164.0,10.0,9.0,2896.0
SRR6468588,6324585.0,1552337.0,1336540.0,15631156.0,4389.0,2888051.0,5887850.0,20.0,13.0,4498.0
ERR4775906,512954.0,139394.0,110968.0,1610799.0,456.0,213256.0,872183.0,4.0,2.0,1750.0
SRR5946875,4611355.0,1976148.0,1904917.0,11984218.0,13808.0,4081547.0,3270054.0,13.0,11.0,3104.0
SRR6468598,7430503.0,1541455.0,1239684.0,18173773.0,16936.0,3163458.0,6964140.0,22.0,13.0,4462.0
ERR4775643,596470.0,187201.0,153533.0,1781426.0,562.0,427946.0,745846.0,6.0,4.0,1329.0
SRR5950653,1683251.0,521958.0,521958.0,4239578.0,2204.0,1212482.0,1331777.0,6.0,6.0,2283.0
SRR6468613,22447233.0,10264259.0,9561323.0,50830616.0,9631.0,12444635.0,13813158.0,31.0,21.0,4730.0
SRR5962908,4199179.0,2080859.0,2048457.0,9753099.0,9241.0,3286240.0,2250628.0,11.0,9.0,3027.0
SRR5936185,4370510.0,1798581.0,1384525.0,10478116.0,1526.0,3379080.0,2720162.0,15.0,8.0,3454.0
SRR5946687,4123379.0,1475172.0,1435813.0,11168215.0,8226.0,3035526.0,3994936.0,15.0,10.0,3539.0
